Operation_1,selectLargest(value()),selectLargest(valueImpact()),selectLargest(valueSuccessRate()),selectRandomValue(),selectSmallest(value()),selectSmallest(valueImpact()),selectSmallest(valueSuccessRate())
selectLargest(ImpactOfLastBranch()),26.538,26.346,26.474,30.637,26.278,27.228,26.252
selectLargest(domainMax()),23.887,24.133,24.142,24.775,23.739,23.947,23.91
selectLargest(domainMin()),23.943,23.847,23.686,24.404,23.483,23.507,23.683
selectLargest(impact()),25.994,26.359,26.182,29.352,26.02,26.315,26.23
selectLargest(localImpact()),26.112,26.591,26.776,30.769,26.174,26.329,26.377
selectLargest(regretOnMax()),25.012,24.873,25.049,28.226,25.429,25.22,25.499
selectLargest(regretOnMin()),24.065,24.861,24.954,26.523,23.791,24.492,24.081
selectLargest(successRate()),25.848,25.696,25.93,28.762,25.046,26.002,25.781
selectRandomVar(),32.157,,,,30.508,30.858,33.441
selectSmallest(ImpactOfLastBranch()),23.13,23.008,23.329,23.611,22.968,22.884,23.158
selectSmallest(domainMax()),22.232,22.255,22.412,22.486,22.132,22.387,22.097
selectSmallest(domainMin()),22.1,22.244,22.773,22.661,21.921,22.901,22.381
selectSmallest(domainSize()),23.284,23.326,23.547,23.942,23.392,23.244,23.061
selectSmallest(impact()),22.721,22.825,22.775,22.856,22.954,22.66,22.793
selectSmallest(localImpact()),22.832,22.906,23.088,23.35,22.903,22.704,22.861
selectSmallest(regretOnMax()),22.319,22.494,22.593,22.428,22.405,22.401,22.42
selectSmallest(regretOnMin()),22.377,22.494,22.264,22.219,22.515,22.585,22.307
selectSmallest(successRate()),22.49,22.532,22.595,22.531,22.414,22.618,22.681
